description,category
"swiggy order for lunch","Food & Dining"
"zomato dinner delivery","Food & Dining"
"lunch at coffee day","Food & Dining"
"sharma dhaba dinner","Food & Dining"
"anand bhavan breakfast","Food & Dining"
"mcdonalds fast food","Food & Dining"
"starbucks iced latte","Food & Dining"
"local tea shop snacks","Food & Dining"
"corner ice cream parlor","Food & Dining"
"groceries from supermart","Food & Dining"
"instamart grocery delivery","Food & Dining"
"blinkit milk and bread","Food & Dining"
"zepto snacks order","Food & Dining"
"dominos pizza party","Food & Dining"
"kfc chicken bucket","Food & Dining"
"subway sandwich combo","Food & Dining"
"sweet bakery biscuits","Food & Dining"
"water bottle and juice","Food & Dining"
"office canteen lunch","Food & Dining"
"haldiram namkeen and sweets","Food & Dining"
"biryani from paradise","Food & Dining"
"paneer tikka dinner","Food & Dining"
"chaayos chai and snacks","Food & Dining"
"blue tokai coffee beans","Food & Dining"
"bigbasket weekly groceries","Food & Dining"
"frozen food from reliance fresh","Food & Dining"
"dairy milk and cheese","Food & Dining"
"organic vegetables delivery","Food & Dining"
"dunkin donuts breakfast","Food & Dining"
"costa coffee meeting","Food & Dining"
"monthly pocket money","Education"
"school tuition fees","Education"
"math textbook and guides","Education"
"pens pencils and stationaries","Education"
"university semester fee","Education"
"donation to institution","Education"
"student organization dues","Education"
"udemy web dev course","Education"
"coursera data science certification","Education"
"hostel accommodation fee","Education"
"private tutor coaching fee","Education"
"notebooks and stationary shop","Education"
"skillshare annual subscription","Education"
"linkedin learning premium","Education"
"byju classes for math","Education"
"unacademy competitive entrance","Education"
"vedantu live class fee","Education"
"thesis printing and binding","Education"
"library card renewal","Education"
"scholarship application fee","Education"
"apollo hospital consultation","Healthcare"
"emergency room icu charges","Healthcare"
"dental surgery payment","Healthcare"
"medical bills and tests","Healthcare"
"pharmacy tablets and syrup","Healthcare"
"physiotherapy treatment","Healthcare"
"cultfit gym membership","Healthcare"
"blood test at dr lal pathlabs","Healthcare"
"mri scan and xray","Healthcare"
"apollo pharmacy medicines","Healthcare"
"health insurance premium","Healthcare"
"covid vaccination booster","Healthcare"
"optician glasses prescription","Healthcare"
"yoga and meditation class","Healthcare"
"pharmeasy medicine order","Healthcare"
"1mg tablet delivery","Healthcare"
"protein supplement whey","Healthcare"
"vitamin d calcium tablets","Healthcare"
"practo doctor consultation","Healthcare"
"uber ride to office","Transportation"
"metro train pass recharge","Transportation"
"flight tickets to mumbai","Transportation"
"petrol pump fuel","Transportation"
"ola cab ride home","Transportation"
"diesel for car","Transportation"
"fastag toll recharge","Transportation"
"irctc train tickets","Transportation"
"indigo flight booking","Transportation"
"parking fee at mall","Transportation"
"rapido bike ride","Transportation"
"auto rickshaw to market","Transportation"
"car servicing and wash","Transportation"
"tyre replacement mechanic","Transportation"
"ev charging station","Transportation"
"vistara flight delhi","Transportation"
"carpool to office daily","Transportation"
"amazon prime shopping","Shopping"
"zara clothing store","Shopping"
"new smartphone purchase","Shopping"
"myntra clothes shopping","Shopping"
"ajio online shopping apparel","Shopping"
"nykaa cosmetics and makeup","Shopping"
"croma electronics laptop","Shopping"
"ikea furniture store","Shopping"
"nike shoes online","Shopping"
"adidas sports wear","Shopping"
"watch from titan","Shopping"
"jewellery for anniversary","Shopping"
"perfume from sephora","Shopping"
"headphones from amazon","Shopping"
"iphone 15 purchase","Shopping"
"samsung galaxy tab","Shopping"
"lenskart glasses online","Shopping"
"mattress from sleepwell","Shopping"
"home decor curtains","Shopping"
"electricity utility bill","Bills & Utilities"
"water tax payment","Bills & Utilities"
"jio mobile recharge","Bills & Utilities"
"airtel prepaid recharge","Bills & Utilities"
"bsnl broadband internet bill","Bills & Utilities"
"tatasky dth recharge","Bills & Utilities"
"apartment maintenance rent","Bills & Utilities"
"lpg cylinder refill indane","Bills & Utilities"
"society maintenance charges","Bills & Utilities"
"maid salary payment","Bills & Utilities"
"cook monthly salary","Bills & Utilities"
"emi payment hdfc loan","Bills & Utilities"
"insurance premium lic","Bills & Utilities"
"act fibernet broadband","Bills & Utilities"
"postpaid bill airtel","Bills & Utilities"
"netflix subscription","Entertainment"
"spotify premium music","Entertainment"
"bookmyshow concert tickets","Entertainment"
"pvr cinemas movie ticket","Entertainment"
"steam gaming subscription","Entertainment"
"playstation store game","Entertainment"
"disney plus hotstar","Entertainment"
"youtube premium sub","Entertainment"
"arcade gaming session","Entertainment"
"karaoke night pub","Entertainment"
"standup comedy show","Entertainment"
"anime crunchyroll sub","Entertainment"
"apple tv plus monthly","Entertainment"
"twitch subscription","Entertainment"
"birthday party celebration","Entertainment"
"mutual fund sip monthly","Investments & Savings"
"zerodha stock purchase","Investments & Savings"
"groww equity investment","Investments & Savings"
"fixed deposit fd renewal","Investments & Savings"
"ppf annual contribution","Investments & Savings"
"gold sovereign bond","Investments & Savings"
"bitcoin crypto wazirx","Investments & Savings"
"smallcase portfolio","Investments & Savings"
"nps retirement savings","Investments & Savings"
"real estate plot payment","Investments & Savings"
"hotel booking makemytrip","Travel & Holidays"
"oyo resort weekend trip","Travel & Holidays"
"airbnb vacation rental","Travel & Holidays"
"goibibo flight hotel pack","Travel & Holidays"
"passport renewal fee","Travel & Holidays"
"visa application embassy","Travel & Holidays"
"luggage suitcase purchase","Travel & Holidays"
"trekking camping gear","Travel & Holidays"
"safari tour booking","Travel & Holidays"
"cruise ship vacation","Travel & Holidays"
"museum sightseeing tickets","Travel & Holidays"
"travel insurance policy","Travel & Holidays"
